V2.4 SHORELINES + HYDROGRAPHY MASTER


===== FILE: METRO__shoreline_metro.csv =====
SHA256: 2f8f940a4ba6986c32e996d03d1d0bbbfcc251c11ca4ddb58547d266c7274247
SIZE: 27763 bytes
-----BEGIN-----
row,landmass,west_col,east_col
110,Brooklyn,279,481
111,StatenIsland,79,241
111,Brooklyn,278,482
112,StatenIsland,78,242
112,Brooklyn,277,483
113,StatenIsland,77,243
113,Brooklyn,276,484
114,StatenIsland,77,243
114,Brooklyn,276,484
115,StatenIsland,76,244
115,Brooklyn,275,485
116,StatenIsland,76,244
116,Brooklyn,274,486
117,StatenIsland,75,245
117,Brooklyn,273,487
118,StatenIsland,74,246
118,Brooklyn,272,488
119,StatenIsland,74,246
119,Brooklyn,271,489
120,StatenIsland,73,247
120,Manhattan,253,260
120,Brooklyn,270,490
121,StatenIsland,73,247
121,Manhattan,252,259
121,Brooklyn,270,490
122,StatenIsland,72,248
122,Manhattan,251,261
122,Brooklyn,269,491
123,StatenIsland,72,248
123,Manhattan,252,260
123,Brooklyn,268,492
124,StatenIsland,72,248
124,Manhattan,252,260
124,Brooklyn,267,493
125,StatenIsland,71,249
125,Manhattan,252,261
125,Brooklyn,267,493
126,StatenIsland,71,249
126,Manhattan,252,260
126,Brooklyn,266,494
127,StatenIsland,70,250
127,Manhattan,252,260
127,Brooklyn,265,495
128,StatenIsland,70,250
128,Manhattan,252,261
128,Brooklyn,264,496
129,StatenIsland,70,250
129,Manhattan,251,261
129,Brooklyn,264,496
130,StatenIsland,69,251
130,Manhattan,251,262
130,Brooklyn,263,497
131,StatenIsland,69,251
131,Manhattan,251,262
131,Brooklyn,262,498
132,StatenIsland,69,251
132,Manhattan,251,263
132,Brooklyn,262,498
133,StatenIsland,68,252
133,Manhattan,250,263
133,Brooklyn,261,499
134,StatenIsland,68,252
134,Manhattan,250,263
134,Brooklyn,261,499
135,StatenIsland,68,252
135,Manhattan,250,264
135,Brooklyn,260,500
136,StatenIsland,67,253
136,Manhattan,250,264
136,Brooklyn,259,501
137,StatenIsland,67,253
137,Manhattan,250,264
137,Brooklyn,259,501
138,StatenIsland,67,253
138,Manhattan,250,265
138,Brooklyn,258,502
139,StatenIsland,67,253
139,Manhattan,250,265
139,Brooklyn,258,502
140,StatenIsland,66,254
140,Manhattan,250,265
140,Brooklyn,257,503
141,StatenIsland,66,254
141,Manhattan,249,266
141,Brooklyn,257,503
142,StatenIsland,66,254
142,Manhattan,249,266
142,Brooklyn,256,504
143,StatenIsland,66,254
143,Manhattan,249,266
143,Brooklyn,256,504
144,StatenIsland,66,254
144,Manhattan,249,266
144,Brooklyn,255,505
145,StatenIsland,66,254
145,Manhattan,249,266
145,Brooklyn,255,505
146,StatenIsland,66,254
146,Manhattan,249,267
146,Brooklyn,254,506
147,StatenIsland,65,255
147,Manhattan,249,267
147,Brooklyn,254,506
148,StatenIsland,65,255
148,Manhattan,249,267
148,Brooklyn,254,506
149,StatenIsland,65,255
149,Manhattan,248,267
149,Brooklyn,253,507
150,StatenIsland,65,255
150,Manhattan,248,268
150,Brooklyn,253,507
151,StatenIsland,65,255
151,Manhattan,248,268
151,Brooklyn,252,508
152,StatenIsland,65,255
152,Manhattan,248,268
152,Brooklyn,252,508
153,StatenIsland,65,255
153,Manhattan,248,268
153,Brooklyn,252,508
154,StatenIsland,65,255
154,Manhattan,248,268
154,Brooklyn,251,509
155,StatenIsland,65,255
155,Manhattan,248,268
155,Brooklyn,251,509
156,StatenIsland,65,255
156,Manhattan,248,268
156,Brooklyn,251,509
157,StatenIsland,65,255
157,Manhattan,248,269
157,Brooklyn,250,510
158,StatenIsland,65,255
158,Manhattan,248,269
158,Brooklyn,250,510
159,StatenIsland,65,255
159,Manhattan,248,269
159,Brooklyn,250,510
160,StatenIsland,65,255
160,Manhattan,248,269
160,Brooklyn,249,511
160,RooseveltIsland,271,271
161,StatenIsland,65,255
161,Manhattan,248,269
161,Brooklyn,249,511
161,RooseveltIsland,270,272
162,StatenIsland,65,255
162,Manhattan,248,269
162,Brooklyn,249,511
162,RooseveltIsland,269,273
163,StatenIsland,65,255
163,Manhattan,248,269
163,Brooklyn,248,512
163,RooseveltIsland,269,273
164,StatenIsland,66,254
164,Manhattan,248,269
164,Brooklyn,248,512
164,RooseveltIsland,269,273
165,StatenIsland,66,254
165,Manhattan,247,269
165,Brooklyn,248,512
165,RooseveltIsland,269,273
166,StatenIsland,66,254
166,Manhattan,247,269
166,Brooklyn,248,512
166,RooseveltIsland,268,274
167,StatenIsland,66,254
167,Manhattan,247,269
167,Brooklyn,248,512
167,RooseveltIsland,268,274
168,StatenIsland,66,254
168,Manhattan,247,269
168,Brooklyn,247,513
168,RooseveltIsland,268,274
169,StatenIsland,66,254
169,Manhattan,247,270
169,Brooklyn,247,513
169,RooseveltIsland,268,274
170,StatenIsland,66,254
170,Manhattan,247,270
170,Brooklyn,247,513
170,RooseveltIsland,268,274
171,StatenIsland,67,253
171,Manhattan,247,270
171,Brooklyn,247,513
171,RooseveltIsland,267,275
172,StatenIsland,67,253
172,Manhattan,247,270
172,Brooklyn,247,513
172,RooseveltIsland,267,275
173,StatenIsland,67,253
173,Brooklyn,246,514
173,Manhattan,247,270
173,RooseveltIsland,267,275
174,StatenIsland,67,253
174,Brooklyn,246,514
174,Manhattan,247,270
174,RooseveltIsland,267,275
175,StatenIsland,68,252
175,Brooklyn,246,514
175,Manhattan,247,270
175,RooseveltIsland,267,275
175,Queens,425,425
176,StatenIsland,68,252
176,Brooklyn,246,514
176,Manhattan,247,270
176,RooseveltIsland,267,275
176,Queens,407,443
177,StatenIsland,68,252
177,Brooklyn,246,514
177,Manhattan,247,270
177,RooseveltIsland,267,275
177,Queens,399,451
178,StatenIsland,69,251
178,Brooklyn,246,514
178,Manhattan,247,270
178,RooseveltIsland,267,275
178,Queens,394,456
179,StatenIsland,69,251
179,Brooklyn,246,514
179,Manhattan,247,270
179,RooseveltIsland,266,276
179,Queens,389,461
180,StatenIsland,69,251
180,Brooklyn,245,515
180,Manhattan,247,270
180,RooseveltIsland,266,276
180,Queens,385,465
181,StatenIsland,70,250
181,Brooklyn,245,515
181,Manhattan,247,270
181,RooseveltIsland,266,276
181,Queens,381,469
182,StatenIsland,70,250
182,Brooklyn,245,515
182,Manhattan,247,270
182,RooseveltIsland,266,276
182,Queens,377,473
183,StatenIsland,70,250
183,Brooklyn,245,515
183,Manhattan,247,270
183,RooseveltIsland,266,276
183,Queens,374,476
184,StatenIsland,71,249
184,Brooklyn,245,515
184,Manhattan,247,270
184,RooseveltIsland,266,276
184,Queens,371,479
185,StatenIsland,71,249
185,Brooklyn,245,515
185,Manhattan,247,270
185,RooseveltIsland,266,276
185,Queens,368,482
186,StatenIsland,72,248
186,Brooklyn,245,515
186,Manhattan,247,270
186,RooseveltIsland,266,276
186,Queens,366,484
187,StatenIsland,72,248
187,Brooklyn,245,515
187,Manhattan,247,271
187,RooseveltIsland,266,276
187,Queens,363,487
188,StatenIsland,72,248
188,Brooklyn,245,515
188,Manhattan,247,271
188,RooseveltIsland,266,276
188,Queens,361,489
189,StatenIsland,73,247
189,Brooklyn,245,515
189,Manhattan,247,271
189,RooseveltIsland,266,276
189,Queens,358,492
190,StatenIsland,73,247
190,Brooklyn,245,515
190,Manhattan,247,271
190,RooseveltIsland,266,276
190,Queens,356,494
191,StatenIsland,74,246
191,Brooklyn,245,515
191,Manhattan,247,271
191,RooseveltIsland,266,276
191,Queens,354,496
192,StatenIsland,74,246
192,Brooklyn,245,515
192,Manhattan,247,271
192,RooseveltIsland,266,276
192,Queens,352,498
193,StatenIsland,75,245
193,Brooklyn,245,515
193,Manhattan,247,271
193,RooseveltIsland,266,276
193,Queens,350,500
194,StatenIsland,76,244
194,Brooklyn,245,515
194,Manhattan,247,271
194,RooseveltIsland,265,277
194,Queens,348,502
195,StatenIsland,76,244
195,Brooklyn,245,515
195,Manhattan,247,271
195,RooseveltIsland,265,277
195,Queens,346,504
196,StatenIsland,77,243
196,Brooklyn,245,515
196,Manhattan,247,271
196,RooseveltIsland,265,277
196,Queens,345,505
197,StatenIsland,77,243
197,Brooklyn,245,515
197,Manhattan,247,271
197,RooseveltIsland,265,277
197,Queens,343,507
198,StatenIsland,78,242
198,Brooklyn,245,515
198,Manhattan,247,271
198,RooseveltIsland,265,277
198,Queens,341,509
199,StatenIsland,79,241
199,Brooklyn,245,515
199,Manhattan,247,271
199,RooseveltIsland,265,277
199,Queens,340,510
200,StatenIsland,79,241
200,Brooklyn,245,515
200,Manhattan,247,271
200,RooseveltIsland,265,277
200,Queens,338,512
201,StatenIsland,80,240
201,Brooklyn,246,514
201,Manhattan,247,271
201,RooseveltIsland,265,277
201,Queens,337,513
202,StatenIsland,81,239
202,Brooklyn,246,514
202,Manhattan,247,271
202,RooseveltIsland,265,277
202,Queens,335,515
203,StatenIsland,82,238
203,Brooklyn,246,514
203,Manhattan,247,271
203,RooseveltIsland,265,277
203,Queens,334,516
204,StatenIsland,82,238
204,Brooklyn,246,514
204,Manhattan,247,271
204,RooseveltIsland,265,277
204,Queens,332,518
205,StatenIsland,83,237
205,Brooklyn,246,514
205,Manhattan,247,271
205,RooseveltIsland,265,277
205,Queens,331,519
206,StatenIsland,84,236
206,Brooklyn,246,514
206,Manhattan,247,271
206,RooseveltIsland,265,277
206,Queens,329,519
207,StatenIsland,85,235
207,Brooklyn,246,514
207,Manhattan,247,271
207,RooseveltIsland,265,277
207,Queens,328,519
208,StatenIsland,86,234
208,Manhattan,247,271
208,Brooklyn,247,513
208,RooseveltIsland,265,277
208,Queens,327,519
209,StatenIsland,87,233
209,Manhattan,247,271
209,Brooklyn,247,513
209,RooseveltIsland,265,277
209,Queens,325,519
210,StatenIsland,88,232
210,Manhattan,247,271
210,Brooklyn,247,513
210,RooseveltIsland,265,277
210,Queens,324,519
211,StatenIsland,89,231
211,Manhattan,246,271
211,Brooklyn,247,513
211,RooseveltIsland,265,277
211,Queens,323,519
212,StatenIsland,90,230
212,Manhattan,246,271
212,Brooklyn,247,513
212,RooseveltIsland,265,277
212,Queens,322,519
213,StatenIsland,91,229
213,Manhattan,246,271
213,Brooklyn,248,512
213,RooseveltIsland,265,277
213,Queens,321,519
214,StatenIsland,92,228
214,Manhattan,246,271
214,Brooklyn,248,512
214,RooseveltIsland,265,277
214,Queens,320,519
215,StatenIsland,93,227
215,Manhattan,246,271
215,Brooklyn,248,512
215,RooseveltIsland,265,277
215,Queens,318,519
216,StatenIsland,94,226
216,Manhattan,246,272
216,Brooklyn,248,512
216,RooseveltIsland,265,277
216,Queens,317,519
217,StatenIsland,95,225
217,Manhattan,246,272
217,Brooklyn,248,512
217,RooseveltIsland,265,277
217,Queens,316,519
218,StatenIsland,96,224
218,Manhattan,246,272
218,Brooklyn,249,511
218,RooseveltIsland,265,277
218,Queens,315,519
219,StatenIsland,97,223
219,Manhattan,246,272
219,Brooklyn,249,511
219,RooseveltIsland,265,277
219,Queens,314,519
220,StatenIsland,99,221
220,Manhattan,246,272
220,Brooklyn,249,511
220,RooseveltIsland,265,277
220,Queens,313,519
221,StatenIsland,100,220
221,Manhattan,246,272
221,Brooklyn,250,510
221,RooseveltIsland,265,277
221,Queens,312,519
222,StatenIsland,102,218
222,Manhattan,246,272
222,Brooklyn,250,510
222,RooseveltIsland,265,277
222,Queens,311,519
223,StatenIsland,103,217
223,Manhattan,246,272
223,Brooklyn,250,510
223,RooseveltIsland,265,277
223,Queens,310,519
224,StatenIsland,105,215
224,Manhattan,246,272
224,Brooklyn,251,509
224,RooseveltIsland,265,277
224,Queens,309,519
225,StatenIsland,106,214
225,Manhattan,246,272
225,Brooklyn,251,509
225,RooseveltIsland,265,277
225,Queens,308,519
226,StatenIsland,108,212
226,Manhattan,246,272
226,Brooklyn,251,509
226,RooseveltIsland,265,277
226,Queens,308,519
227,StatenIsland,110,210
227,Manhattan,246,272
227,Brooklyn,252,508
227,RooseveltIsland,265,277
227,Queens,307,519
228,StatenIsland,111,209
228,Manhattan,246,272
228,Brooklyn,252,508
228,RooseveltIsland,265,277
228,Queens,306,519
229,StatenIsland,113,207
229,Manhattan,246,272
229,Brooklyn,252,508
229,RooseveltIsland,265,277
229,Queens,305,519
230,StatenIsland,115,205
230,Manhattan,246,272
230,Brooklyn,253,507
230,RooseveltIsland,265,277
230,Queens,304,519
231,StatenIsland,117,203
231,Manhattan,246,272
231,Brooklyn,253,507
231,RooseveltIsland,265,277
231,Queens,303,519
232,StatenIsland,120,200
232,Manhattan,246,272
232,Brooklyn,254,506
232,RooseveltIsland,265,277
232,Queens,303,519
233,StatenIsland,122,198
233,Manhattan,246,272
233,Brooklyn,254,506
233,RooseveltIsland,265,277
233,Queens,302,519
234,StatenIsland,125,195
234,Manhattan,246,272
234,Brooklyn,254,506
234,RooseveltIsland,265,277
234,Queens,301,519
235,StatenIsland,128,192
235,Manhattan,246,272
235,Brooklyn,255,505
235,RooseveltIsland,265,277
235,Queens,300,519
236,StatenIsland,131,189
236,Manhattan,246,273
236,Brooklyn,255,505
236,RooseveltIsland,265,277
236,Queens,300,519
237,StatenIsland,135,185
237,Manhattan,246,273
237,Brooklyn,256,504
237,RooseveltIsland,266,276
237,Queens,299,519
238,StatenIsland,140,180
238,Manhattan,246,273
238,Brooklyn,256,504
238,RooseveltIsland,266,276
238,Queens,298,519
239,StatenIsland,145,175
239,Manhattan,246,273
239,Brooklyn,257,503
239,RooseveltIsland,266,276
239,Queens,297,519
240,StatenIsland,160,160
240,Manhattan,246,273
240,Brooklyn,257,503
240,RooseveltIsland,266,276
240,Queens,297,519
241,Manhattan,246,273
241,Brooklyn,258,502
241,RooseveltIsland,266,276
241,Queens,296,519
242,Manhattan,246,273
242,Brooklyn,258,502
242,RooseveltIsland,266,276
242,Queens,295,519
243,Manhattan,246,273
243,Brooklyn,259,501
243,RooseveltIsland,266,276
243,Queens,295,519
244,Manhattan,246,273
244,Brooklyn,259,501
244,RooseveltIsland,266,276
244,Queens,294,519
245,Manhattan,246,273
245,Brooklyn,260,500
245,RooseveltIsland,266,276
245,Queens,294,519
246,Manhattan,246,273
246,Brooklyn,261,499
246,RooseveltIsland,266,276
246,Queens,293,519
247,Manhattan,246,273
247,Brooklyn,261,499
247,RooseveltIsland,266,276
247,Queens,292,519
248,Manhattan,246,273
248,Brooklyn,262,498
248,RooseveltIsland,266,276
248,Queens,292,519
249,Manhattan,246,273
249,Brooklyn,262,498
249,RooseveltIsland,266,276
249,Queens,291,519
250,Manhattan,246,273
250,Brooklyn,263,497
250,RooseveltIsland,266,276
250,Queens,291,519
251,Manhattan,246,273
251,Brooklyn,264,496
251,RooseveltIsland,266,276
251,Queens,290,519
252,Manhattan,246,273
252,Brooklyn,264,496
252,RooseveltIsland,267,275
252,Queens,290,519
253,Manhattan,246,273
253,Brooklyn,265,495
253,RooseveltIsland,267,275
253,Queens,289,519
254,Manhattan,246,273
254,Brooklyn,266,494
254,RooseveltIsland,267,275
254,Queens,289,519
255,Manhattan,246,273
255,RooseveltIsland,267,275
255,Brooklyn,267,493
255,Queens,288,519
256,Manhattan,246,273
256,RooseveltIsland,267,275
256,Brooklyn,267,493
256,Queens,288,519
257,Manhattan,246,273
257,RooseveltIsland,267,275
257,Brooklyn,268,492
257,Queens,287,519
258,Manhattan,246,273
258,RooseveltIsland,267,275
258,Brooklyn,269,491
258,Queens,287,519
259,Manhattan,246,273
259,RooseveltIsland,267,275
259,Brooklyn,270,490
259,Queens,286,519
260,Manhattan,246,273
260,RooseveltIsland,268,274
260,Brooklyn,270,490
260,Queens,286,519
261,Manhattan,246,273
261,RooseveltIsland,268,274
261,Brooklyn,271,489
261,Queens,285,519
262,Manhattan,246,273
262,RooseveltIsland,268,274
262,Brooklyn,272,488
262,Queens,285,519
263,Manhattan,246,273
263,RooseveltIsland,268,274
263,Brooklyn,273,487
263,Queens,284,519
264,Manhattan,246,273
264,RooseveltIsland,268,274
264,Brooklyn,274,486
264,Queens,284,519
265,Manhattan,246,273
265,RooseveltIsland,269,273
265,Brooklyn,275,485
265,Queens,284,519
266,Manhattan,246,273
266,RooseveltIsland,269,273
266,Brooklyn,276,484
266,Queens,283,519
267,Manhattan,246,273
267,RooseveltIsland,269,273
267,RandallsIsland,272,272
267,Brooklyn,276,484
267,Queens,283,519
268,Manhattan,246,273
268,RandallsIsland,267,277
268,RooseveltIsland,269,273
268,Brooklyn,277,483
268,Queens,282,519
269,Manhattan,246,273
269,RandallsIsland,266,278
269,RooseveltIsland,270,272
269,Brooklyn,278,482
269,Queens,282,519
270,Manhattan,246,273
270,RandallsIsland,264,280
270,RooseveltIsland,271,271
270,Brooklyn,279,481
270,Queens,282,519
271,Manhattan,246,273
271,RandallsIsland,263,281
271,Brooklyn,280,480
271,Queens,281,519
272,Manhattan,246,273
272,RandallsIsland,262,282
272,Brooklyn,281,479
272,Queens,281,519
273,Manhattan,246,273
273,RandallsIsland,262,282
273,Queens,281,519
273,Brooklyn,283,477
274,Manhattan,246,273
274,RandallsIsland,261,283
274,Queens,280,519
274,Brooklyn,284,476
275,Manhattan,246,273
275,RandallsIsland,260,284
275,Queens,280,519
275,Bronx,285,285
275,Brooklyn,285,475
276,Manhattan,246,273
276,RandallsIsland,260,284
276,Bronx,271,299
276,Queens,280,519
276,Brooklyn,286,474
277,Manhattan,246,273
277,RandallsIsland,259,285
277,Bronx,265,305
277,Queens,280,519
277,Brooklyn,287,473
278,Manhattan,246,273
278,RandallsIsland,259,285
278,Bronx,261,309
278,Queens,279,519
278,Brooklyn,288,472
279,Manhattan,246,273
279,Bronx,257,313
279,RandallsIsland,259,285
279,Queens,279,519
279,Brooklyn,289,471
280,Manhattan,246,273
280,Bronx,254,316
280,RandallsIsland,259,285
280,Queens,279,519
280,Brooklyn,291,469
281,Manhattan,246,273
281,Bronx,251,319
281,RandallsIsland,258,286
281,Queens,279,519
281,Brooklyn,292,468
282,Manhattan,246,273
282,Bronx,248,322
282,RandallsIsland,258,286
282,Queens,278,519
282,Brooklyn,293,467
283,Manhattan,246,273
283,Bronx,246,324
283,RandallsIsland,258,286
283,Queens,278,519
283,Brooklyn,295,465
284,Bronx,244,326
284,Manhattan,246,273
284,RandallsIsland,258,286
284,Queens,278,519
284,Brooklyn,296,464
285,Bronx,241,329
285,Manhattan,246,273
285,RandallsIsland,258,286
285,Queens,278,519
285,Brooklyn,298,462
286,Bronx,239,331
286,Manhattan,246,273
286,RandallsIsland,258,286
286,Queens,277,519
286,Brooklyn,299,461
287,Bronx,238,332
287,Manhattan,246,273
287,RandallsIsland,258,286
287,Queens,277,519
287,Brooklyn,301,459
288,Bronx,236,334
288,Manhattan,246,273
288,RandallsIsland,258,286
288,Queens,277,519
288,Brooklyn,302,458
289,Bronx,234,336
289,Manhattan,246,273
289,RandallsIsland,258,286
289,Queens,277,519
289,Brooklyn,304,456
290,Bronx,232,338
290,Manhattan,246,273
290,RandallsIsland,259,285
290,Queens,277,519
290,Brooklyn,305,455
291,Bronx,231,339
291,Manhattan,246,273
291,RandallsIsland,259,285
291,Queens,276,519
291,Brooklyn,307,453
292,Bronx,229,341
292,Manhattan,246,273
292,RandallsIsland,259,285
292,Queens,276,519
292,Brooklyn,309,451
293,Bronx,228,342
293,Manhattan,246,273
293,RandallsIsland,259,285
293,Queens,276,519
293,Brooklyn,311,449
294,Bronx,227,343
294,Manhattan,246,273
294,RandallsIsland,260,284
294,Queens,276,519
294,Brooklyn,313,447
295,Bronx,225,345
295,Manhattan,246,273
295,RandallsIsland,260,284
295,Queens,276,519
295,Brooklyn,315,445
296,Bronx,224,346
296,Manhattan,246,273
296,RandallsIsland,261,283
296,Queens,276,519
296,Brooklyn,317,443
297,Bronx,223,347
297,Manhattan,246,273
297,RandallsIsland,262,282
297,Queens,276,519
297,Brooklyn,319,441
298,Bronx,222,348
298,Manhattan,246,273
298,RandallsIsland,262,282
298,Queens,276,519
298,Brooklyn,321,439
299,Bronx,220,350
299,Manhattan,246,273
299,RandallsIsland,263,281
299,Queens,275,519
299,Brooklyn,324,436
300,Bronx,219,351
300,Manhattan,246,273
300,RandallsIsland,264,280
300,Queens,275,519
300,Brooklyn,326,434
301,Bronx,218,352
301,Manhattan,246,273
301,RandallsIsland,266,278
301,Queens,275,519
301,Brooklyn,329,431
302,Bronx,217,353
302,Manhattan,246,273
302,RandallsIsland,267,277
302,Queens,275,519
302,Brooklyn,332,428
303,Bronx,216,354
303,Manhattan,246,273
303,RandallsIsland,272,272
303,Queens,275,519
303,Brooklyn,335,425
304,Bronx,215,355
304,Manhattan,246,273
304,Queens,275,519
304,Brooklyn,338,422
305,Bronx,214,356
305,Manhattan,246,269
305,Queens,275,519
305,Brooklyn,341,419
306,Bronx,213,357
306,Manhattan,246,269
306,Queens,275,519
306,Brooklyn,345,415
307,Bronx,212,358
307,Manhattan,246,268
307,Queens,275,519
307,Brooklyn,350,410
308,Bronx,211,359
308,Manhattan,246,268
308,Queens,275,519
308,Brooklyn,355,405
309,Bronx,211,359
309,Manhattan,246,268
309,Queens,275,519
309,Brooklyn,363,397
310,Bronx,210,360
310,Manhattan,246,267
310,Queens,275,519
310,Brooklyn,380,380
311,Bronx,209,361
311,Manhattan,246,267
311,Queens,275,519
312,Bronx,208,362
312,Manhattan,246,266
312,Queens,275,519
313,Bronx,207,363
313,Manhattan,246,266
313,Queens,275,519
314,Bronx,207,363
314,Manhattan,246,266
314,Queens,275,519
315,Bronx,206,364
315,Manhattan,246,265
315,Queens,275,519
316,Bronx,205,365
316,Manhattan,246,265
316,Queens,275,519
317,Bronx,205,365
317,Manhattan,246,265
317,Queens,275,519
318,Bronx,204,366
318,Manhattan,246,265
318,Queens,275,519
319,Bronx,203,367
319,Manhattan,246,265
319,Queens,275,519
320,Bronx,203,367
320,Manhattan,247,265
320,Queens,275,519
321,Bronx,202,368
321,Manhattan,248,265
321,Queens,275,519
322,Bronx,202,368
322,Manhattan,249,264
322,Queens,276,519
323,Bronx,201,369
323,Manhattan,250,263
323,Queens,276,519
324,Bronx,200,370
324,Manhattan,250,263
324,Queens,276,519
325,Bronx,200,370
325,Manhattan,250,262
325,Queens,276,519
326,Bronx,199,371
326,Manhattan,250,262
326,Queens,276,519
327,Bronx,199,371
327,Manhattan,251,261
327,Queens,276,519
328,Bronx,198,372
328,Manhattan,251,260
328,Queens,276,519
329,Bronx,198,372
329,Manhattan,251,260
329,Queens,276,519
330,Bronx,197,373
330,Manhattan,251,258
330,Queens,277,519
331,Bronx,197,373
331,Manhattan,251,259
331,Queens,277,519
332,Bronx,197,373
332,Manhattan,252,259
332,Queens,277,519
333,Bronx,196,374
333,Manhattan,252,259
333,Queens,277,519
334,Bronx,196,374
334,Manhattan,251,260
334,Queens,277,519
335,Bronx,195,375
335,Manhattan,252,258
335,Queens,278,519
336,Bronx,195,375
336,Manhattan,251,260
336,Queens,278,519
337,Bronx,195,375
337,Manhattan,252,259
337,Queens,278,519
338,Bronx,194,376
338,Manhattan,252,259
338,Queens,278,519
339,Bronx,194,376
339,Manhattan,251,260
339,Queens,279,519
340,Bronx,194,376
340,Queens,279,519
341,Bronx,193,377
341,Queens,279,519
342,Bronx,193,377
342,Queens,279,519
343,Bronx,193,377
343,Queens,280,519
344,Bronx,193,377
344,Queens,280,519
345,Bronx,192,378
345,Queens,280,519
346,Bronx,192,378
346,Queens,280,519
347,Bronx,192,378
347,Queens,281,519
348,Bronx,192,378
348,Queens,281,519
349,Bronx,192,378
349,Queens,281,519
350,Bronx,191,379
350,Queens,282,519
351,Bronx,191,379
351,Queens,282,519
352,Bronx,191,379
352,Queens,282,519
353,Bronx,191,379
353,Queens,283,519
354,Bronx,191,379
354,Queens,283,519
355,Bronx,191,379
355,Queens,284,519
356,Bronx,190,380
356,Queens,284,519
357,Bronx,190,380
357,Queens,284,519
358,Bronx,190,380
358,Queens,285,519
359,Bronx,190,380
359,Queens,285,519
360,Bronx,190,380
360,Queens,286,519
361,Bronx,190,380
361,Queens,286,519
362,Bronx,190,380
362,Queens,287,519
363,Bronx,190,380
363,Queens,287,519
364,Bronx,190,380
364,Queens,288,519
365,Bronx,190,380
365,Queens,288,519
366,Bronx,190,380
366,Queens,289,519
367,Bronx,190,380
367,Queens,289,519
368,Bronx,190,380
368,Queens,290,519
369,Bronx,190,380
369,Queens,290,519
370,Bronx,190,380
370,Queens,291,519
371,Bronx,190,380
371,Queens,291,519
372,Bronx,190,380
372,Queens,292,519
373,Bronx,190,380
373,Queens,292,519
374,Bronx,190,380
374,Queens,293,519
375,Bronx,191,379
375,Queens,294,519
376,Bronx,191,379
376,Queens,294,519
377,Bronx,191,379
377,Queens,295,519
378,Bronx,191,379
378,Queens,295,519
379,Bronx,191,379
379,Queens,296,519
380,Bronx,191,379
380,Queens,297,519
381,Bronx,192,378
381,Queens,297,519
382,Bronx,192,378
382,Queens,298,519
383,Bronx,192,378
383,Queens,299,519
384,Bronx,192,378
384,Queens,300,519
385,Bronx,192,378
385,Queens,300,519
386,Bronx,193,377
386,Queens,301,519
387,Bronx,193,377
387,Queens,302,519
388,Bronx,193,377
388,Queens,303,519
389,Bronx,193,377
389,Queens,303,519
390,Bronx,194,376
390,Queens,304,519
391,Bronx,194,376
391,Queens,305,519
392,Bronx,194,376
392,Queens,306,519
393,Bronx,195,375
393,Queens,307,519
394,Bronx,195,375
394,Queens,308,519
395,Bronx,195,375
395,Queens,308,519
